koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
21.81295996,0,0.053,4.3791,1175.4,0.030952,2.39175,3.38,0.1495,89.92,639,39.33,39.183,5601,4.41,0.08,0.999,0.934,CONFIRMED
7.91936937,0,0.733,3.3148,15148,0.121984,1.13074,10.34,0.0737,87.3,814,104,15.534,5690,4.588,-0.4,0.776,0.852,FALSE POSITIVE
1.028436523,0,1.5734,1.8606,8098,0.673134,0.43236,72.77,0.0197,57.3,1947,3400.48,2.891,6228,4.428,-0.44,0.99,0.959,CANDIDATE
15.37562369,0,0.692,3.3169,15337,0.12103,2.43887,11.01,0.1121,88.73,600,30.54,31.24,4986,4.496,0.16,0.833,0.793,CONFIRMED
8.10363271,0,0.047,3.161,887.9,0.026361,2.33533,2.11,0.0712,89.87,687,52.82,20.09,4861,4.574,-0.08,0.732,0.733,CONFIRMED
4.71510843,0,0.258,2.506,417.5,0.018268,2.42359,1.46,0.0496,88.96,823,108.84,14.18,4861,4.574,-0.08,0.732,0.733,CONFIRMED
6.365839713,0,0.524,2.9721,780.7,0.026275,1.41102,2.44,0.0659,87.92,914,165.33,14.46,5776,4.554,-0.18,0.849,0.939,CONFIRMED
5.97581754,0,0.941,3.065,962.4,0.035468,0.14724,3.86,0.066,81.71,1047,284.25,6.53,6108,4.471,-0.08,0.997,1.072,FALSE POSITIVE
2.446737317,0,1.241,4.7211,1177.9,0.278526,0.01691,26.25,0.0351,44.81,1261,597.19,1.749,5764,4.548,-0.12,0.863,0.959,FALSE POSITIVE
3.04033046,0,0.736,1.8411,10859,0.104023,2.31195,8.99,0.0374,85.95,1021,257.29,10.41,5035,4.519,-0.06,0.791,0.754,CONFIRMED
15.33528675,0,0.773,3.897,3081.4,0.056,0.81659,5,0.1179,87.95,610,32.67,21.65,5251,4.581,0.21,0.817,0.926,CONFIRMED
7.95825328,0,0.706,4.377,50,0.006915,0.29918,1.06,0.0809,85.95,1074,314.15,10.01,5847,4.191,0.26,1.402,1.113,CONFIRMED
31.33046135,0,0.798,5.176,5073.8,0.072904,0.70448,6.5,0.1898,88.62,481,12.61,33.19,5251,4.581,0.21,0.817,0.926,CONFIRMED
3.9043425,0,0.709,3.831,16228,0.125229,0.39988,12.28,0.0484,84.06,1104,351.05,6.856,5810,4.526,-0.06,0.898,0.989,FALSE POSITIVE
9.286358079,0,0.377,3.49949,44791,0.19639,2.67897,17.61,0.081,89.06,796,95.03,23.029,5670,4.523,-0.4,0.821,0.82,FALSE POSITIVE
3.951405455,0,1.276,2.1862,2453.9,0.331342,0.19337,31.44,0.0482,76.4,1133,388.71,5.42,6046,4.539,-0.38,0.869,0.953,FALSE POSITIVE
23.65369415,0,0.008,8.2183,3341.8,0.05219,0.41907,7.89,0.1658,89.98,731,67.65,23.142,5739,4.191,0.3,1.384,1.083,CONFIRMED
13.23352214,0,0.014,6.7372,504.6,0.020278,0.3884,3.06,0.1126,89.95,888,146.67,15.32,5739,4.191,0.3,1.384,1.083,CONFIRMED
6.15560285,0,0.235,4.9843,285,0.015336,0.40662,2.32,0.0676,88.56,1146,406.94,9.34,5739,4.191,0.3,1.384,1.083,CONFIRMED
2.090811305,0,0.746,3.388,115.9,0.010686,0.1588,1.62,0.0329,77.03,1642,1718.04,3.32,5739,4.191,0.3,1.384,1.083,CONFIRMED
3.180027898,0,0.196,3.5797,120.3,0.009989,0.5756,1.53,0.0439,88.34,1458,1066.86,6.751,5847,4.191,0.26,1.402,1.113,CONFIRMED
50.4467417,0,0.379,7.159,370.3,0.01767,0.97794,2.67,0.2747,89.57,568,24.64,50.9,5739,4.191,0.3,1.384,1.083,CONFIRMED
11.76307164,0,0.048,2.9076,1037.3,0.028519,4.37951,2.35,0.0954,89.91,616,33.99,31.76,4959,4.603,0.16,0.756,0.849,CONFIRMED
56.2279271,0,0.7,3.57,862.7,0.028683,4.47051,2.37,0.2707,89.56,366,4.22,90.7,4959,4.603,0.16,0.756,0.849,CONFIRMED
2.384052875,0,1.178,3.0918,1268.1,0.222925,0.03902,17.06,0.0308,58.76,1010,244.87,2.27,4794,4.58,-0.22,0.701,0.683,FALSE POSITIVE
7.953547,0,0.3,2.6312,875.4,0.026448,3.48717,2.25,0.0712,89.24,696,55.37,22.68,4768,4.536,0.18,0.779,0.759,CONFIRMED
