ra,dec,flux_1_100_gev,detection_significance,spectrum_type,pivot_energy,energy_flux,pl_flux_density,pl_index,lp_flux_density,lp_index,lp_beta,plec_flux_density,plec_index,plec_exp_factor,plec_exp_index,plec_curve_significance,npred,variability_index,frac_variability,source_type
258.6125,-38.5069444444444,1.0311e-08,27.525,PLSuperExpCutoff,3998.99,9.1138e-11,4.6464e-13,2.3832,5.738e-13,2.5646,0.1812,5.8e-13,1.8734,0.00343,0.6667,6.93,5477.9,5.235017,0,NOT_BLL
171.715,-38.4958333333333,6.2577e-10,18.9149,PowerLaw,1396.38,7.2671e-12,3.6666e-13,2.2295,4.1292e-13,2.1859,0.0883,4.0244e-13,1.9609,0.00201,0.6667,2.61,1069.98,16.081755,0.224,NOT_BLL
61.7625,-38.4394444444444,2.0217e-09,44.1227,LogParabola,631.46,2.1306e-11,7.8561e-12,2.3646,8.6508e-12,2.2463,0.112,8.3988e-12,2.0488,0.00364,0.6667,6.04,3862.73,343.003326,0.5948,NOT_BLL
259.563333333333,-38.4316666666667,1.1952e-08,43.6685,PLSuperExpCutoff,2054.56,9.8916e-11,2.384e-12,2.5355,3.2497e-12,2.7256,0.3457,3.3146e-12,1.4869,0.0102,0.6667,14.62,6734.05,3.077487,0,NOT_BLL
76.475,-38.2963888888889,2.2889e-10,10.2185,PowerLaw,2305.49,2.5434e-12,4.3696e-14,2.0471,4.7204e-14,1.979,0.0569,4.6618e-14,1.8427,0.00084,0.6667,1.14,330.28,24.024376,0.5855,BLL
49.9975,-38.3577777777778,1.5482e-10,6.6853,PowerLaw,918.89,2.1986e-12,2.8038e-13,2.4686,2.9273e-13,2.4502,0.0343,2.8375e-13,2.4267,0.00035,0.6667,0.26,464.73,23.542772,0.65,NOT_BLL
176.76,-38.2005555555556,2.3422e-09,51.0971,LogParabola,739.76,2.3774e-11,5.4268e-12,2.2287,5.752e-12,2.1597,0.0546,5.5627e-12,2.1101,0.00099,0.6667,3.19,3565.02,108.357048,0.3018,BLL
258.527083333333,-38.1902777777778,1.5667e-09,11.2647,PowerLaw,8895.85,1.757e-11,2.0374e-14,1.9847,2.2003e-14,1.939,0.0526,2.1151e-14,1.8863,0.00017,0.6667,0.71,819.31,7.854975,0,NOT_BLL
67.1729166666667,-37.9402777777778,2.3685e-08,249.9093,LogParabola,808.99,2.1275e-10,3.8627e-11,2.0977,4.2063e-11,1.995,0.0817,4.0616e-11,1.8869,0.00177,0.6667,13.27,24240.38,3498.595459,0.4446,BLL
182.762083333333,-38.0155555555556,2.9237e-10,8.8633,PowerLaw,1386.76,3.5047e-12,1.7821e-13,2.2825,2.0989e-13,2.2143,0.1344,2.0334e-13,1.8915,0.00306,0.6667,1.84,557.36,22.589396,0.5595,NOT_BLL
304.395833333333,-37.8969444444444,1.5094e-10,4.6735,PowerLaw,2527.19,1.6786e-12,2.3851e-14,2.0892,3.1742e-14,1.8135,0.2741,3.0313e-14,1.2724,0.00405,0.6667,1.73,215.63,20.781244,0.9087,BLL
206.913333333333,-37.8633333333333,6.2657e-10,15.8272,LogParabola,1069.29,5.0786e-12,6.26e-13,2.3374,7.539e-13,2.1697,0.1966,7.1473e-13,1.822,0.0046,0.6667,3.21,851.55,51.923512,0.5408,NOT_BLL
194.964583333333,-37.8233333333333,6.4329e-10,18.9364,PowerLaw,1856.32,7.1683e-12,1.9453e-13,2.1063,1.9596e-13,2.1006,0.0047,1.9858e-13,2.0417,0.00028,0.6667,0.72,894.26,20.585423,0.289,BLL
223.615833333333,-37.75,4.3438e-10,10.958,PowerLaw,999.25,6.8368e-12,6.7634e-13,2.5535,8.1245e-13,2.4775,0.2006,7.7888e-13,2.0619,0.00552,0.6667,2.41,1152.53,55.370762,0.7624,NOT_BLL
83.475,-37.8308333333333,2.0803e-10,8.4248,PowerLaw,1207.22,2.6073e-12,1.7989e-13,2.3416,2.0832e-13,2.3033,0.1505,1.9944e-13,2.0363,0.0032,0.6667,0,457.89,31.608337,0.8517,NOT_BLL
78.49625,-37.7775,1.1573e-10,5.0363,PowerLaw,889.28,1.9105e-12,2.4935e-13,2.5896,3.5201e-13,2.4053,0.4836,3.4599e-13,0.9808,0.02115,0.6667,1.89,402.53,12.494948,0.4511,BLL
209.966666666667,-37.7680555555556,7.4291e-10,19.8612,PowerLaw,2784.94,8.2603e-12,9.6433e-14,2.0368,9.1011e-14,2.0649,-0.0316,9.5258e-14,2.0655,-9e-05,0.6667,0.45,942.73,34.409271,0.4288,BLL
65.09375,-37.7522222222222,1.0884e-09,33.0441,PowerLaw,1315.82,1.2682e-11,7.3047e-13,2.2358,7.7974e-13,2.1729,0.0606,7.6847e-13,2.0479,0.00126,0.6667,2.41,1841,92.938087,0.4654,NOT_BLL
159.1675,-37.6852777777778,1.2883e-10,4.9939,PowerLaw,639.6,2.3049e-12,6.927e-13,2.6472,1.0841e-12,2.5927,0.4763,1.036e-12,1.312,0.02351,0.6667,2.23,471.98,15.77807,0.6613,NOT_BLL
