ra,dec,redshift,umag,gmag,rmag,imag,zmag,nmag,gal_abs_u,log_nh_gal
30.11825,-9.649725,0.321,19.249,19.027,18.743,18.742,18.353,19.662,0.13,20.318
4.12682083333333,-9.64820277777778,0.2399,18.56,18.415,18.19,17.95,17.914,18.568,0.221,20.502
26.8182916666667,-9.63843611111111,1.6285,19.189,19.052,19.011,18.806,18.73,19.915,0.144,20.423
338.695966666667,-9.63320833333333,3.073,21.525,19.804,19.629,19.682,19.487,22.409,0.293,20.675
344.3132875,-9.63166111111111,0.9413,19.871,19.793,19.551,19.743,19.634,20.175,0.198,20.549
339.7278375,-9.62672777777778,1.4722,19.839,19.626,19.144,18.916,18.892,20.279,0.315,20.679
359.972670833333,-9.61545277777778,0.3585,19.509,19.276,18.895,18.76,18.293,19.26,0.175,20.462
339.279441666667,-9.60643333333333,2.0719,19.394,19.199,19.115,18.893,18.71,20.752,0.33,20.684
27.118275,-9.60345277777778,0.789,22.022,21.396,21.029,20.534,19.733,21.451,0.158,20.415
359.432991666667,-9.59835555555556,1.849,19.629,19.621,19.483,19.13,19.012,21.726,0.202,20.444
25.3383708333333,-9.59687222222222,1.0878,19.503,19.195,18.964,18.889,18.913,19.435,0.143,20.453
4.4437875,-9.59615277777778,0.579,19.496,19.246,19.298,19.114,18.975,19.766,0.243,20.507
8.18632083333333,-9.57504166666667,1.9941,19.692,19.425,19.003,18.744,18.386,21.187,0.168,20.467
342.607475,-9.57029444444444,1.754,19.779,19.61,19.528,19.156,19.204,22.706,0.255,20.575
0.350966666666667,-9.56383888888889,1.6337,19.629,19.334,19.289,19.029,18.924,20.692,0.211,20.462
333.302095833333,-9.56223055555556,0.9175,19.29,19.161,19.016,19.093,19.052,19.094,0.257,20.635
339.822095833333,-9.56136388888889,1.8179,19.713,19.392,19.28,18.964,18.926,21.223,0.32,20.677
332.9296625,-9.55971944444445,0.9473,18.791,18.688,18.526,18.567,18.459,19.028,0.222,20.627
9.47387083333333,-9.55884166666667,0.399,19.067,18.846,18.915,18.931,18.513,19.622,0.162,20.45
13.2996708333333,-9.5549,1.6375,19.52,18.976,18.949,18.891,18.929,20.734,0.179,20.574
6.06670833333333,-9.55429444444444,0.54,19.807,19.466,19.288,19.016,18.978,20.481,0.272,20.517
14.2844666666667,-9.55173888888889,1.2071,19.399,19.399,19.028,18.999,19.145,20.234,0.227,20.605
9.486275,-9.54338611111111,1.3257,19.694,19.668,19.451,19.218,19.305,20.526,0.162,20.452
9.028575,-9.541425,1.1885,19.199,19.125,18.805,18.923,19.285,20.399,0.18,20.452
331.444908333333,-9.53887777777778,1.3589,18.487,18.461,18.147,18.06,18.065,19.164,0.169,20.589
28.996075,-9.53070833333333,2.0914,19.625,19.487,19.355,19.244,18.972,22.811,0.105,20.332
28.701,-9.52640833333333,0.4241,18.93,18.653,18.587,18.531,18.348,18.694,0.116,20.346
30.048025,-9.52394166666667,0.3605,18.071,17.968,18.045,18.055,17.45,18.41,0.125,20.316
338.888141666667,-9.52307777777778,0.9203,18.629,18.311,18.046,17.994,17.855,18.706,0.287,20.672
14.040475,-9.51713888888889,1.8105,19.245,19.159,19.088,18.843,18.892,21.108,0.221,20.601
332.3571625,-9.51585277777778,0.6992,18.439,18.126,18.135,18.235,18.219,18.414,0.217,20.612
26.6432708333333,-9.50398888888889,0.3934,19.524,19.248,19.288,19.245,18.726,19.559,0.14,20.425
332.225745833333,-9.49935555555555,1.7907,19.647,19.373,19.287,19.046,18.863,22.266,0.207,20.609
30.7503,-9.49364166666667,1.7902,19.186,18.987,18.961,18.72,18.725,19.762,0.128,20.322
